nome_posto;bairro;tipo_combustivel;preco_medio;quantidade_amostras
AUTO POSTO MARLIN LTDA;SANTA LUCIA;DIESEL;R$ 5,99;5
AUTO POSTO MARLIN LTDA;SANTA LUCIA;ETANOL;R$ 4,81;5
AUTO POSTO MARLIN LTDA;SANTA LUCIA;GASOLINA;R$ 6,21;5
AUTO POSTO MARLIN LTDA;SANTA LUCIA;GASOLINA ADITIVADA;R$ 6,21;5
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;DIESEL;R$ 4,09;5
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;ETANOL;R$ 4,67;5
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;GASOLINA;R$ 6,19;5
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;GASOLINA ADITIVADA;R$ 6,53;5
POSTO ARVOREDO LTDA;HORTO;DIESEL;R$ 5,89;5
POSTO ARVOREDO LTDA;HORTO;ETANOL;R$ 4,49;5
POSTO ARVOREDO LTDA;HORTO;GASOLINA;R$ 6,00;5
POSTO ARVOREDO LTDA;HORTO;GASOLINA ADITIVADA;R$ 6,00;5
POSTO ATLANTICO LTDA;JARDIM CAMBURI;DIESEL;R$ 6,39;5
POSTO ATLANTICO LTDA;JARDIM CAMBURI;ETANOL;R$ 4,99;5
POSTO ATLANTICO LTDA;JARDIM CAMBURI;GASOLINA;R$ 6,12;5
POSTO ATLANTICO LTDA;JARDIM CAMBURI;GASOLINA ADITIVADA;R$ 6,50;5
POSTO PARADA VITORIA LTDA;CONSOLACAO;DIESEL;R$ 5,99;5
POSTO PARADA VITORIA LTDA;CONSOLACAO;ETANOL;R$ 4,61;5
POSTO PARADA VITORIA LTDA;CONSOLACAO;GASOLINA;R$ 6,01;5
POSTO PARADA VITORIA LTDA;CONSOLACAO;GASOLINA ADITIVADA;R$ 6,25;5
