nome_posto;bairro;tipo_combustivel;valor;data_coleta
AUTO POSTO MARLIN LTDA;SANTA LUCIA;DIESEL;R$ 5,99;02/02/2026
AUTO POSTO MARLIN LTDA;SANTA LUCIA;ETANOL;R$ 4,89;02/02/2026
AUTO POSTO MARLIN LTDA;SANTA LUCIA;GASOLINA;R$ 6,09;02/02/2026
AUTO POSTO MARLIN LTDA;SANTA LUCIA;GASOLINA ADITIVADA;R$ 6,09;02/02/2026
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;DIESEL;R$ 4,09;10/02/2026
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;ETANOL;R$ 4,79;10/02/2026
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;GASOLINA;R$ 5,99;10/02/2026
J. S. PETROLEO E COMERCIO LTDA.;MATA DA PRAIA;GASOLINA ADITIVADA;R$ 6,39;10/02/2026
POSTO ARVOREDO LTDA;HORTO;DIESEL;R$ 5,89;10/02/2026
POSTO ARVOREDO LTDA;HORTO;ETANOL;R$ 4,49;10/02/2026
POSTO ARVOREDO LTDA;HORTO;GASOLINA;R$ 5,99;10/02/2026
POSTO ARVOREDO LTDA;HORTO;GASOLINA ADITIVADA;R$ 5,99;10/02/2026
POSTO ATLANTICO LTDA;JARDIM CAMBURI;DIESEL;R$ 6,39;23/02/2026
POSTO ATLANTICO LTDA;JARDIM CAMBURI;ETANOL;R$ 4,99;23/02/2026
POSTO ATLANTICO LTDA;JARDIM CAMBURI;GASOLINA;R$ 5,99;23/02/2026
POSTO ATLANTICO LTDA;JARDIM CAMBURI;GASOLINA ADITIVADA;R$ 6,34;23/02/2026
POSTO PARADA VITORIA LTDA;CONSOLACAO;DIESEL;R$ 5,99;02/02/2026
POSTO PARADA VITORIA LTDA;CONSOLACAO;ETANOL;R$ 4,65;02/02/2026
POSTO PARADA VITORIA LTDA;CONSOLACAO;GASOLINA;R$ 5,99;02/02/2026
POSTO PARADA VITORIA LTDA;CONSOLACAO;GASOLINA ADITIVADA;R$ 6,25;02/02/2026
