data;DIESEL;ETANOL;GASOLINA;GASOLINA ADITIVADA
06/01/2026;R$5,94;R$4,44;R$6,17;R$6,17
12/01/2026;R$ 5,49;R$ 4,61;R$ 6,16;R$ 6,28
14/01/2026;R$ 6,39;R$ 4,99;R$ 6,29;R$ 6,64
15/01/2026;R$ 4,09;R$ 4,59;R$ 6,29;R$ 6,59
20/01/2026;R$ 5,67;R$ 4,74;R$ 6,18;R$ 6,35
25/01/2026;R$ 5,99;R$ 4,65;R$ 5,99;R$ 6,25
27/01/2026;R$ 5,67;R$ 4,76;R$ 6,02;R$ 6,25
02/02/2026;R$ 5,99;R$ 4,77;R$ 6,04;R$ 6,17
10/02/2026;R$ 4,99;R$ 4,64;R$ 5,99;R$ 6,19
11/02/2026;R$ 6,39;R$ 4,99;R$ 6,09;R$ 6,44
23/02/2026;R$ 6,39;R$ 4,99;R$ 5,99;R$ 6,34
